id,name,price,guestCount,checkInOn,checkOutOn,statusNum
16HATkrH398pmixtKxBUEi25krx1VJyUQN,"Jakubowski, Hermiston and Nicolas",$3779.91,2,23-01-2023,26-01-2023,Booked
16ovymxEK5cHKnUTHPXZeqJrU7ERsFZK5g,Sporer Inc,$6979.84,5,01-08-2022,07-08-2022,Cancelled
1B62xDqL3ufvxCCmrdQDjUAHvHVTWdgLTa,"Russel, Lebsack and Runolfsson",$6890.90,2,09-09-2022,11-09-2022,Booked
1FRBAF7hkVr2zabm1vzNqe7YeEq1EyxU5R,Miller and Sons,$3404.09,1,09-04-2023,16-04-2023,Confirmed
1HMgN5qUAboFSj7QeeuGR4Acm3vUCtxfF,"Mohr, Kovacek and Friesen",$4363.59,1,22-09-2022,29-09-2022,Confirmed
124nADMjXsgf3V6vyVURYKAGxrMpgYDd7N,Halvorson Inc,$9865.06,1,21-09-2022,26-09-2022,Confirmed
1KKpekFMg59VM6GFX894u53GxspjvasFJH,"Fahey, Kemmer and Shields",$7373.52,5,10-09-2022,11-09-2022,Cancelled
1LCMj8b9m1kmCvWqGCutGzuB9gFfaMKaoJ,Wilkinson LLC,$4514.09,1,03-11-2022,08-11-2022,Confirmed
1KMcEiPZpN2zXomHAkL2PuJQd567EBEz5R,Abshire LLC,$2415.36,3,21-08-2022,26-08-2022,Booked
1yyEAKYnJpon42aKhwejEQzPEMNAY94GA,"Cummerata, Ferry and Dickinson",$8465.14,1,18-11-2022,25-11-2022,Confirmed
112RDsQVoc8FXexzWnKcWhaAU7wVfZSCZj,Lehner-Kerluke,$3874.40,1,29-07-2022,31-07-2022,Confirmed
1DFkPkCGWPFiFF5F8Go8Xrfan38PvzN8tf,Cremin Group,$5690.91,1,18-07-2022,25-07-2022,Confirmed
1PSd8yEgo2pEHpNv4pWAvEzqvuEtD8PcWA,"Vandervort, Lockman and Hegmann",$7384.89,4,03-03-2023,05-03-2023,Booked
1A4e7tqdhKwMg6RaAoqZ6e8RKt5bUTbh6y,Murazik-Roob,$853.91,1,11-05-2023,15-05-2023,Confirmed
1DSSD8izt2qG2dbDzo3VN7Vmn6pw22SDdT,Auer Group,$8538.53,1,26-08-2022,01-09-2022,Confirmed
1FTm6nkBkVp8xsikyZrNKzgBKJbnncaHBz,Wolff-Aufderhar,$8239.49,1,06-10-2022,09-10-2022,Confirmed
1CVz3L9BFNRHi8mG9YMTdjjQ8ZR7xjx94i,Stiedemann-Mayer,$7393.44,5,06-09-2022,13-09-2022,Cancelled
1LxeMsWVw88H6LjEtSoUd1SAv96ZTGoXwT,Kertzmann LLC,$1673.19,3,14-12-2022,19-12-2022,Booked
